Case,Mean MPI,Mean Comp,Mean Total,Variance MPI,Variance Comp,Variance Total,Standard Deviation MPI,Standard Deviation Comp,Standard Deviation total
result_64x64.csv,0.0002786,7.8e-06,0.00547585,2.397434e-08,3.66e-12,2.400848627500001e-06,0.0001548364944061961,1.913112646970899e-06,0.0015494672076233175
result_128x128.csv,0.0002697,3.4649999999999995e-05,0.009672749999999999,3.033261e-08,3.027499999999998e-12,5.414545874999998e-07,0.0001741625964436681,1.739971264130531e-06,0.0007358359786664415
result_256x256.csv,0.00045900000000000004,0.00021895,0.029295599999999998,3.67519e-08,1.574750000000002e-11,9.838107399999987e-07,0.00019170785064780212,3.968311983702897e-06,0.0009918723405761443
result_512x512.csv,0.0017714,0.0015783499999999998,0.10967800000000001,3.849639999999998e-09,7.550275e-10,2.693057800000003e-06,6.20454671994659e-05,2.7477763737247613e-05,0.0016410538687075457
result_1024x1024.csv,0.00531665,0.01828285,0.52762485,1.2919092749999998e-07,5.058536275000001e-07,3.185064672750004e-05,0.00035943139470558214,0.0007112338767944059,0.005643637721142281
result_2048x2048.csv,0.009457799999999999,0.3005896,2.0462721999999998,3.871156599999998e-07,2.163359399999967e-07,0.0013963312243599996,0.0006221861939966201,0.0004651192750252312,0.037367515630022816
result_4096x4096.csv,0.21696970000000002,2.5041087,9.38854135,0.0021957016280100003,8.654172740999973e-05,0.02291264795712755,0.04685831439573985,0.009302780627855294,0.1513692437621578
