Case,Mean MPI,Mean Comp,Mean Total,Mean Fence,Variance MPI,Variance Comp,Variance Total,Variance Fence,Standard Deviation MPI,Standard Deviation Comp,Standard Deviation total,Standar Deviation Fence
result_64x64.csv,0.07853625,1.295e-05,0.08355114999999999,0.0788481,4.847612887500003e-06,2.5597500000000005e-11,4.6022599775000086e-06,5.829239489999998e-06,0.0022017295218759282,5.059397197295346e-06,0.0021452878542284268,0.00241438180286383
result_128x128.csv,0.09068889999999999,3.9925e-05,0.100799325,0.09058075,5.2031022399999965e-06,1.2169375000000003e-11,5.033169169375e-06,6.877851887499999e-06,0.0022810309598951077,3.4884631286570886e-06,0.002243472569338658,0.002622565897646806
result_256x256.csv,0.105655575,0.00023982500000000002,0.1351868,0.1048128,7.509884544375003e-06,4.66194375e-10,1.1104050759999988e-05,1.025634375999999e-05,0.002740416855950022,2.1591534799545862e-05,0.0033322741123743087,0.00320255269433619
result_512x512.csv,0.10791500000000001,0.0016218,0.2146267,0.10651675000000001,1.1152769550000003e-05,5.430100000000003e-10,1.6061348509999994e-05,1.1017322587499996e-05,0.003339576253059661,2.330257496501192e-05,0.004007661226950202,0.0033192352413620816
result_1024x1024.csv,0.14330447500000001,0.017880125,0.64920415,0.1250065,2.8883003099374996e-05,6.557200937500006e-08,0.0001991665823275,1.869185335000001e-05,0.005374290939219331,0.000256070321152218,0.014112639098605901,0.004323407608588393
result_2048x2048.csv,0.44382492500000004,0.30176165,2.17016845,0.1370823,6.132000746937506e-05,1.3040536775000016e-06,0.0002708604717474996,4.888189991e-05,0.007830709257109157,0.0011419516966579635,0.016457839218667183,0.006991559190194989
result_4096x4096.csv,2.80633725,2.51056605,9.42002805,0.28484565,0.005182411597187497,0.003576148767247497,0.006484441768497504,0.0012898013793274995,0.07198896857982824,0.059800909418231234,0.08052603162020033,0.0359138048572899
