Case,Mean MPI,Mean Comp,Mean Total,Variance MPI,Variance Comp,Variance Total,Standard Deviation MPI,Standard Deviation Comp,Standard Deviation total
result_64x64.csv,0.09651675,1.32e-05,0.10219965,2.149533687500003e-06,3.5599999999999994e-12,3.9190582275e-06,0.0014661288099959032,1.8867962264113206e-06,0.0019796611395640415
result_128x128.csv,0.11098380000000001,6.64e-05,0.12228615000000001,1.171212860000004e-06,1.0333400000000005e-09,7.302290227499995e-06,0.0010822258821521521,3.2145606231645414e-05,0.002702275009598393
result_256x256.csv,0.32445865,0.0002929,0.35272745,9.784486672749995e-05,1.34909e-09,0.00010291505734750005,0.00989165641980654,3.6729960522712244e-05,0.010144705877821203
result_512x512.csv,0.32636414999999996,0.0019137000000000002,0.4259672,9.382476952749998e-05,1.3299809999999997e-08,9.054726935999996e-05,0.009686318677779499,0.0001153248021892949,0.009515632893297217
result_1024x1024.csv,0.23487740000000001,0.01872925,0.85326535,3.128791773999999e-05,2.2025064875e-06,8.541758012749986e-05,0.00559356038136713,0.0014840843936582582,0.009242163173602803
result_2048x2048.csv,0.2804934,0.3136416,2.27092385,7.721312363999999e-05,1.6081776840000063e-05,0.00024748159022750145,0.008787099842382582,0.004010209076843758,0.015731547610693026
result_4096x4096.csv,0.6591818,2.5267793000000003,9.045241299999999,0.0016324508486600005,0.0017690627327099997,0.004394033583509996,0.04040359945178153,0.042060227444820124,0.06628750699422928
